￥599.00|天语（K-TOUCH） 8848  Note5全面屏移动联通电信全网通4G智能手机指纹人脸解锁一体机 曜石黑 2GB+16GB|||1200+条评价|
￥8799.00|【华北专享】Apple iPhone X (A1865) 256GB 深空灰色 移动联通电信4G手机【京东自营】数量有限，先到先得|||二手有售3800+条评价|
￥5799.00|三星 Galaxy S9（SM-G9600/DS）4GB+64GB 勃艮第红 移动联通电信4G手机 双卡双待下单立减300元！白条12期免息，Plus会员下单送11600京豆！960/秒凝时拍摄,Bixby智能人工助手!京东独家新品S轻奢惊喜上市>>||三星手机京东自营官方旗舰店|6000+条评价|
￥1799.00|华为 HUAWEI nova 2 4GB+64GB 曜石黑 移动联通电信4G手机 双卡双待高颜值，爱自拍！前置2000万高清美拍，光学变焦双镜头！华为新品全面上线，更多优惠猛戳》》||华为京东自营官方旗舰店|二手有售14万+条评价|
￥2598.00|vivo X21i  全面屏 双摄美颜拍照手机 4GB+128GB 极夜黑  移动联通电信全网通4G手机 双卡双待【直降100元，白条6期免息】19:9全面屏，2.5D玻璃后盖，128GB大内存，Jovi人工智能秒杀天天有，点击关注>>>||vivo京东自营官方旗舰店|700+条评价|
￥3299.00|OPPO R15 梦镜版【梦镜红/陶瓷黑/梦镜紫三色可选】超视野全面屏拍照手机 梦镜红/全网通(6G RAM+128G ROM)6月1~3日开门红，R153期免息额外加送OPPO自拍杆点此进入OPPO618闪购特惠活动||OPPO官方直营旗舰店|7300+条评价|
￥599.00|联想（Lenovo）K320t全面屏手机 2G+16G 星夜黑 移动4G+（支持移动联通） 双卡双待|||200+条评价|
￥1209.00|华为（HUAWEI） 荣耀8青春版 手机 蓝色 移动全网通(4G  + 64G)【尊享版4+64G低至1199元】双面2.5D玻璃，美品潮搭，颜值小担当~ 荣耀9 戳我||茄子手机旗舰店|6500+条评价|
￥228.00￥208.00|飞利浦（PHILIPS）E133X 陨石黑 电信CDMA 老人手机 直板按键 超长待机 学生功能备用机【618手机大促】6月1日-2日百款手机秒杀！ 618元神券放送！上亿神券派不停！新品手机大量到货！猛戳享福利|||1.5万+条评价|
￥799.00|魅族 魅蓝X 3GB+32GB 全网通公开版 流光金 移动联通电信4G手机 双卡双待MTK P20芯片，5.5英寸全高清夏普屏！6月1日-2日百款手机秒杀！618元神券放送！上亿神券派不停！||魅族京东自营官方旗舰店|二手有售4.8万+条评价|
￥1299.00|夏普 SHARP AQUOS S2 全面屏手机 全网通 4GB+64GB 伯爵蓝 移动联通电信4G手机 双卡双待【领券立减100，到手价1199】美人尖5.5英寸异形全面屏！夏普18年好屏好色彩~618火热抢购中》》(此商品不参加上述活动)||夏普手机京东自营官方旗舰店|5.5万+条评价|
￥138.00|天语（K-TOUCH）T3 直板按键 三防老人手机 超长待机 双卡双待老人机 移动联通2G 黑色【618手机大促】好评数4W+ 紧急求救，强光手电，3600mAh大电池超长待机，充电宝功能 猛戳进入老人机会场 >>||天语手机京东自营官方旗舰店|4.4万+条评价|
￥349.00|诺基亚（NOKIA）3310 深蓝色 直板按键 移动联通2G手机 双卡双待 时尚手机 经典复刻 学生备用功能机做自己，享不同，天生萌萌哒~经典贪吃蛇等你来~猛戳享福利~||诺基亚手机京东自营旗舰店|二手有售4.9万+条评价|
￥539.00|小米（MI） 小米5A 红米5A 手机 香槟金 全网通（2G+16G）移动版【现货速发，京东配送 】红米5A轻巧手感，5‘’屏幕，高通骁龙处理器!全面屏红米5抢购中~||聚捷联盛手机旗舰店|4400+条评价|
￥698.00|创星 （ATMAN）X20 全面屏手机 全网通4G 智能手机 指纹+人脸解锁 双卡双待 玫瑰金 尊享版 3G+32G|||700+条评价|
￥128.00|HAIYU H6（6800毫安）电信三防老人机天翼2G电霸老人手机 黑金【6800毫安】待机60天、充电宝功能   30天免费试用无理由退货、保修一年||豪泰手机专营店|2.8万+条评价|
￥699.00|中兴 Blade A3 3GB+32GB 冰川蓝  移动联通电信4G手机 人脸识别 双卡双待4000mAh大电池，长续航，支持人脸识别，5.5英寸高清大屏，3GB+32GB内存，前置双摄美颜自拍，1300万后置摄像头！划时代双屏解决方案——四种模式刷新商务、游戏、直播、阅读、拍照掌中体验，火爆预约中！||中兴手机京东自营官方旗舰店|2.2万+条评价|
￥198.00|飞利浦（PHILIPS） E151Y 电信直板老人手机 超长待机老年手机 学生备用功能机 陨石黑特色手机 电信老人机男 CDMA天翼老年人手机女 大字体大按键大音量电信4G卡 购买移动版||千索贸易手机专营店|4300+条评价|
￥1098.00|魅族（MEIZU） 魅蓝note6 手机 香槟金 全网通(4G RAM+64G ROM)【尊享版】【现货速发】1600万前置美拍，后置双摄像头，高通骁龙625！【新品魅蓝E3】||易道手机专营店|1.6万+条评价|
￥428.00￥418.002人拼|中兴（ZTE） 中兴 (ZTE) BA520 移动4G 智能老人手机 双卡双待 玄武灰 高配版（2GRAM+16GROM）可切换老人模式【京东配送】5.0英寸屏幕 2G+16G内存 点击查看升级版中兴小鲜5||众盛手机专营店|6200+条评价|
￥1199.00|酷派（Coolpad）酷玩6 耀动黑6GB+64GB 移动联通电信4G手机 双卡双待骁龙653,4060毫安大电池，酷玩游戏新体验，怪兽级游戏体验！更多好货！||酷派京东自营旗舰店|1.3万+条评价|
￥699.00|天语（K-TOUCH） 8848  Note5全面屏移动联通电信全网通4G智能手机指纹人脸解锁一体机 曜石黑 3GB+32GB【 下单联系客服送钢化膜】 5.72英寸全网通4g全面大屏 1300万高清摄像微信多开||亿源数码手机专营店|1200+条评价|
￥1399.00|小辣椒 红辣椒Note5X 6GB+64GB AI双摄全面屏 移动联通电信4G全网通游戏手机 黑色|||3800+条评价|
￥1799.00|OPPO A79 全面屏拍照手机 4GB+64GB 冰焰蓝 全网通 移动联通电信4G 双卡双待手机R15星云版放量开抢，经典旗舰R11s系列劲省550元！A79、A83领券立减100！更多优惠请点击||OPPO手机京东自营官方旗舰店|二手有售2.2万+条评价|
￥1298.00|华为（HUAWEI） 麦芒5手机（4G+64G）全网通高配版 4G手机 双卡双待 香槟金(4G+64G)高配版现货速发 高配4+64G版金色 高通骁龙625芯片金属机身||中恒国信手机旗舰店|2000+条评价|
￥149.00|诺基亚（NOKIA） 105 移动联通2G 老人手机 新款-黑色【自营时效发票同行 365天质量问题可换新】诺基亚老人手机 新版诺基亚4g老人机点击查看||众盛手机专营店|3.4万+条评价|
￥899.00|华为 畅享6S  银色 移动联通电信4G手机 双卡双待骁龙芯片！金属机身！享看又享玩！华为新品全面上线，更多优惠猛戳》》||华为京东自营官方旗舰店|二手有售26万+条评价|
￥599.00|魅族（MEIZU） 魅蓝6 移动定制全网通4G手机 双卡双待 磨砂黑 3GB+32GB购买套餐赠好礼！【荣耀8青春版 4+32 低至949元】||中国移动手机官方旗舰店|4800+条评价|
￥558.00|小米（MI） 红米5A 4G手机 香槟金 全网通(2G+16G)标配京东配送【移动版支持全网与全网版不做混发、请放心购买】购买全面屏红米NOTE5手机||新松联手机旗舰店|1.9万+条评价|
￥1278.00|Apple 苹果5s  iPhone 5s (A1530) 4英寸 移动联通双4G手机 金色 官方标配 16G【苹果爆品】小巧玲珑|A7处理器|指纹识别|送壳膜礼包 爆款苹果6热卖中||明日手机专营店|9200+条评价|
￥2999.00|欧奇（OUKI） P6Pro 全网通4G 超长待机智能手机 高端商务 一万毫安大电池 双卡双待 黑色|||200+条评价|
￥2999.00|OPPO R15【热力红/星空紫/雪盈白三色可选】超视野全面屏拍照手机 热力红 全网通(6G RAM+128G ROM)标配6月1~3日开门红，R153期免息额外加送OPPO自拍杆点此进入OPPO618闪购特惠活动||OPPO官方直营旗舰店|7600+条评价|
￥169.00|中兴健康(ZTE Health) 老人手机A188 移动联通 老年手机 黑色 老年男版特色手机【货到付款】学生手机备用功能机 支持4G卡 通话质量好 声音大 耐用电池 强信号||维库精品手机专营店|4万+条评价|
￥5399.00|三星 Galaxy S8+（SM-G9550）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待【下单立减500元！到手价5799！送无线快充！白条12期免息！】骁龙835芯片！三星S9震撼上市详情猛戳>>||三星手机京东自营官方旗舰店|二手有售1.5万+条评价|
￥89.00|小辣椒 G108 移动/联通/2G 电霸三防老人手机 双卡双待 橙色2.4英寸大屏幕，后置30万摄像头，超长待机，耐磨环保外壳，大声音大字体！戳我辣一辣，小辣椒优惠在此！||小辣椒手机京东自营官方旗舰店|3.2万+条评价|
￥548.00|华为（HUAWEI） 华为荣耀畅玩6手机 金色 全网通4G(2G+16G)标配版限时优惠持久续航 柔光自拍！荣耀7C双摄全面屏899元起！||牧申手机旗舰店|1.2万+条评价|
￥1499.00|MANN ZUG 5SQ 全网通4G 三防智能手机 户外防水防摔 超长待机 双卡双待 4+64G沙漠金|||1800+条评价|
￥99.00|誉品（YEPEN） YP99电霸 老人手机 移动/联通军工路虎 老年机三防直板双卡双待 军绿历史低价！大屏三防老人机 手电筒 防摔老年手机 充电宝功能户外备用直板||新迪恒数码专营店|4.6万+条评价|
￥1028.00|小米（MI） 红米5plus 手机 黑色 全网通(4G+64G)标配【下单送壳膜】18:9全面屏，4000mAh大电池，骁龙八核处理器！【红米NOTE5】||新松联手机旗舰店|9400+条评价|
￥999.00|OPPO A1 双卡双待全面屏拍照手机 深海蓝 全网通(3G RAM+32G ROM)标配6月1~3日开门红，A1爆款领券减10额外加送蓝牙音箱，点此进入OPPO618闪购特惠活动||OPPO官方直营旗舰店|4100+条评价|
￥1785.00|小米（MI） 小米6X 手机 曜石黑 全网通 6GB+64GB骁龙845-AI变焦双摄-小米8周年旗舰-小米8||易道手机专营店|2900+条评价|
￥4699.00|诺基亚 NOKIA 8 Sirocco 6GB+128GB 黑色 全网通 游戏手机 移动联通电信4G单卡手机蔡司认证摄像头，机身表面95%玻璃覆盖，简约生活见不凡，诺基亚高端机来袭~猛戳享福利~||诺基亚手机京东自营旗舰店|2500+条评价|
￥518.00|酷派（Coolpad） 8739 移动全网通 4G手机 双卡双待 锐志金 （3G RAM+16G ROM）360F4低至399！！【京仓直配 正品现货 收货写心得 】拍下送5大贴心好礼请多多关照！||博海宇通手机旗舰店|2100+条评价|
￥1729.00|小米5s Plus 大屏双摄手机 4GB+64GB 金色 全网通4G手机内含原装保护壳！5.7英寸大屏双摄，高通骁龙 821处理器！女神节更多优惠猛戳》》||小米京东官方自营旗舰店|二手有售13万+条评价|
￥1299.00|魅族 PRO 7 4GB+64GB 全网通公开版 静谧黑 移动联通电信4G手机 双卡双待|||5.9万+条评价|
￥6999.00|三星 Galaxy Note8（SM-N9500）6GB+256GB 谜夜黑 移动联通电信4G手机 双卡双待下单立减300元！到手价6699！再送无线快充！白条12期免息！后置防抖双摄像头！京东独家新品S轻奢惊喜上市>>||三星手机京东自营官方旗舰店|二手有售6300+条评价|
￥1025.00|小米（MI） 红米5 Plus 全面屏 手机 黑色 全网通(4G+64G)标配【加25元换原装耳机】18:9全面屏，4000mAh大电池，骁龙八核处理器！红米note5||佳沪手机旗舰店|1.9万+条评价|
￥1699.00|360 N7 游戏手机 石墨黑 全网通 6GB+64GB现货速发，赠电源大礼包/安卓8.1/人脸识别/后置双摄  大电池手机N6||佳沪手机旗舰店|600+条评价|
￥299.00|飞利浦（PHILIPS） E135X 移动/联通 翻盖老人手机 老年按键功能机 陨石黑 男版特色手机【京东配送】翻盖老人机老年人手机 支持移动4G卡 大字体大按键大音量老年手机||君可安手机专营店|1.8万+条评价|
￥3598.00|vivo X21 屏幕指纹 双摄拍照手机 6GB+128GB 移动联通电信4G 双卡双待 冰钻黑 屏幕指纹版【明星旗舰】屏幕指纹识别·3D曲面背部玻璃·AI智慧拍照·照亮你的美·关注Z1新品上市||vivo手机官方旗舰店|4500+条评价|
￥1278.00|魅族（MEIZU） Pro7 4G手机 静谧黑 全网通(4G+64G)标配【现货发售】双摄如瞳，明眸善睐！创新画屏，妙不可言！【pro7plus】||新松联手机旗舰店|1300+条评价|
￥2599.00|华为（HUAWEI） 荣耀10 游戏手机 幻影蓝 全网通 6GB+64GB【直降100官网同价 下单就送多重大礼包】麒麟970 “吃鸡”利器 黑鲨游戏手机||佳沪手机旗舰店|2600+条评价|
￥1299.00|努比亚nubia Z17miniS 小牛8 深海蓝 6GB+64GB 全网通 移动联通电信4G手机 双卡双待|||3.5万+条评价|
￥999.00|OPPO A1 新品拍照手机【香槟色/樱桃红/深海蓝三色可选】3GB+32GB A57升级版双卡双待 香槟色 全网通分期免息当天发货◆送蓝牙耳机+限时加送背包+原装全套配件+碎屏险+全国联保◆64G版猛戳||OPPO酷炫手机专卖店|800+条评价|
￥2999.00|OPPO R15 星云版新品手机 【可选JBL款】 6G+128G R15梦镜版 A3同款 R11S 星云特别版分期免息享优先发货◆再送:运动智能手环+限时加送高保真蓝牙耳机+原装全套配件◆R15热卖||OPPO酷炫手机专卖店|40+条评价|
￥559.00|华为（HUAWEI） 荣耀 畅玩6 手机 金色 全网通(2G RAM+16G ROM)标配【京仓直发】柔光自拍，舒适握感，长续航！【荣耀7C】||易道手机专营店|1.9万+条评价|
